Software,Windows,macOS,Linux,ChromeOS,BSD,Unix,iOS App,Android App,Windows App
Bebop,[null],[null],[null],[null],[null],[null],[null],[null],[null]
BibBase,[null],[null],[null],[null],[null],[null],[null],[null],[null]
BibDesk,[null],[null],[null],[null],[null],[null],Third-party - PocketBib,[null],[null]
BibSonomy,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bibus,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bookends,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Citavi,[null],[null],[null],[null],[null],[null],[null],[null],[null]
CiteULike,[null],[null],[null],[null],[null],[null],[null],[null],[null]
colwiz,[null],[null],[null],[null],[null],[null],[null],[null],[null]
EndNote,[null],[null],[null],[null],[null],[null],[null],[null],[null]
F1000Workspace,[null],[null],[null],[null],[null],[null],[null],[null],[null]
JabRef,[null],[null],[null],[null],[null],[null],[null],[null],[null]
KBibTeX,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Mendeley,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Paperpile,[null],[null],[null],[null],(requires Chromium),(requires Chromium),[null],[null],[null]
Pybliographer,<ref name="gnome-python">The GUI requires gnome-python  which isn't available for Windows or .</ref>,<ref name="gnome-python"/>,[null],[null],[null],[null],[null],[null],[null]
Qiqqa,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ReadCube (now Papers),[null],[null],[null],[null],[null],[null],[null],[null],[null]
refbase,[null],[null],[null],[null],[null],[null],[null],[null],[null]
RefDB,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Reference Manager,<ref>Reference Manager is not compatible with word 2010</ref>,[null],[null],[null],[null],[null],[null],[null],[null]
Referencer,[null],[null],[null],[null],[null],[null],[null],[null],[null]
RefWorks<ref></ref>,[null],[null],[null],[null],[null],[null],No - but is responsive,[null],[null]
SciRef,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Sente,[null],[null],[null],[null],[null],[null],<ref></ref>,[null],[null]
Wikindx,[null],[null],[null],[null],[null],[null],[null],[null],[null]
WizFolio,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Zotero,[null],[null],[null],[null],[null],[null],[null],- Aziz  Lite!<ref name="azizlite.ezbio.net"></ref>,[null]
